driverId,week,hours-logged,miles-logged
460,6,66,1000
729,23,55,1300
439,24,64,3700
257,8,60,2400
433,20,70,3300
393,36,54,200
547,51,62,3200
196,36,65,2800
494,32,68,500
895,3,62,4000
103,42,76,300
226,9,75,3400
500,35,51,2900
843,17,75,800
659,49,55,2600
841,31,76,3500
991,42,50,300
703,9,69,1600
17,1,77,4000
330,28,69,1700
816,20,54,100
393,5,55,3900
813,23,70,1600
487,47,71,2600
695,11,69,3700
84,27,70,500
305,39,79,2900
576,10,73,1400
893,19,74,2200
366,41,70,1200
625,7,51,2800
842,14,50,1600
420,42,61,1400
765,28,75,2200
25,16,78,1800
938,21,59,0
397,4,51,3300
590,24,60,3100
54,42,56,2600
526,23,56,3600
99,22,74,500
468,38,71,1600
938,23,53,1800
350,44,69,3600
91,42,65,2100
785,24,66,1200
988,4,62,3300
397,51,71,3700
891,35,70,1500
49,26,77,0
611,49,53,3300
930,3,59,2500
848,46,68,1300
50,34,65,1300
803,43,56,1000
602,44,70,3700
745,10,59,3900
481,20,54,3600
798,30,65,2700
883,33,70,1400
568,23,52,2200
15,39,77,1100
654,11,55,3200
704,5,67,700
713,3,63,1300
944,33,64,3000
989,51,53,1900
86,37,70,1600
995,4,70,3800
930,29,60,1900
575,23,57,1400
160,29,70,3600
212,32,66,3600
991,31,80,3200
194,47,57,3800
446,27,50,4000
1004,14,66,2700
994,3,60,800
651,16,77,3900
535,32,55,2400
155,43,70,3500
708,10,57,3100
522,14,71,200
627,18,51,2400
819,2,54,2200
963,21,77,800
927,34,55,3300
651,10,80,600
208,32,58,2900
615,51,60,2200
883,8,62,3300
568,13,60,300
915,6,57,0
418,41,51,1500
715,26,65,2700
655,32,63,600
388,12,54,1500
144,39,57,1300
223,50,64,2300
804,1,52,3000
658,47,77,2400
765,44,50,1600
247,42,78,1300
963,16,66,3700
260,21,50,1500
839,30,76,2700
730,23,80,3400
917,51,76,700
403,6,69,1200
399,28,75,800
876,1,53,2900
406,10,58,500
742,50,77,1800
150,38,80,1100
130,31,74,3400
741,26,80,1100
225,4,72,1600
911,4,77,2000
584,45,51,400
804,13,79,800
948,45,77,2000
708,10,69,2700
281,18,54,700
499,11,77,3900
407,26,55,3400
32,40,80,1100
121,51,75,2300
841,13,80,2500
325,6,50,1300
369,50,69,3800
928,43,62,400
511,33,75,1300
220,22,60,2000
425,31,57,1100
688,23,52,3700
745,45,50,1500
46,30,60,1300
36,49,53,2800
418,19,72,2000
614,5,65,3100
740,17,59,700
33,7,72,3200
340,41,64,3100
597,52,64,3200
588,22,74,700
75,31,53,3800
351,2,50,1400
643,19,55,3300
450,50,51,0
430,6,73,700
704,10,69,100
404,14,66,3700
503,18,70,1500
575,31,60,3500
800,10,54,800
966,37,72,800
204,11,63,3000
859,6,54,3500
136,13,70,0
720,25,76,2400
34,21,60,1200
431,35,66,1000
98,43,65,2900
498,42,69,1400
261,35,73,400
89,35,54,900
670,50,61,1300
124,30,54,3200
277,22,79,3200
166,42,58,3000
787,38,79,2200
587,50,73,900
266,33,70,3600
850,15,74,200
367,24,69,2700
280,27,51,3100
658,10,55,500
801,52,58,1200
153,42,62,1600
391,15,58,400
286,14,75,700
244,22,65,3700
508,38,70,3800
634,45,65,900
198,43,78,0
80,33,80,1900
360,45,80,3500
668,10,54,3200
321,22,55,700
263,33,56,1500
504,38,65,2000
169,14,80,2100
908,41,52,0
974,13,65,1900
274,35,75,1600
601,29,59,3500
650,5,53,2400
872,15,63,0
73,50,78,1900
712,8,66,2900
895,25,60,2900
38,35,54,3900
936,10,79,3700
714,16,54,2700
709,35,66,2000
118,35,55,600
595,33,71,2000
349,15,68,2700
513,18,51,1300
797,40,70,2400
451,52,73,3800
936,43,75,900
199,25,70,1500
987,5,69,2700
315,30,63,3800
683,28,80,3400
593,21,70,400
592,15,76,3100
204,1,58,3800
575,42,68,800
777,48,73,1300
166,29,53,0
148,16,71,700
771,26,55,3700
29,20,54,1300
421,18,62,2200
630,47,70,3000
894,32,74,100
326,44,52,3300
1001,11,77,2300
1000,7,62,3200
213,52,56,3100
175,49,65,3500
55,12,61,1400
879,39,62,1400
244,43,60,3900
733,45,65,2700
885,28,66,1700
720,5,79,500
453,51,68,2400
505,33,73,1800
469,10,79,3000
486,24,67,1200
724,33,72,3300
828,29,78,900
580,32,52,2600
957,8,60,300
219,39,67,100
327,8,55,800
121,6,73,4000
999,7,73,2200
697,21,70,200
128,4,61,1300
313,24,64,3100
661,13,80,3500
193,33,77,1200
424,51,80,900
494,34,79,1300
402,28,73,2100
516,25,50,1100
648,45,79,700
878,51,50,2200
913,49,70,3500
280,23,54,3800
374,44,65,1900
374,35,69,1800
436,14,59,700
71,19,52,3300
27,37,68,2500
744,38,73,3900
447,52,77,900
462,10,73,3900
917,27,51,1200
972,34,77,3300
194,4,50,3400
554,19,69,900
1008,44,56,2800
774,46,55,3900
486,13,80,3300
787,17,66,3500
71,52,51,3500
293,51,78,3900
669,4,51,400
29,29,79,500
